Timestamp,Alpha,Beta,Theta,Delta
1700947719,0.129336399,-0.209319081,0.369627424,0.955631115
1700947719,0.522798597,0.148787054,0.751424517,1.138849088
1700947720,0.546279926,0.166699451,0.750329703,1.341585656
1700947720,0.286944637,-0.085921405,0.475368603,1.366860747
1700947720,0.138378892,-0.118767811,0.330423133,1.230207615
1700947720,0.124452263,-0.070060178,0.157248878,1.244958724
1700947720,0.04617737,-0.156567435,0.146909879,1.137504476
1700947721,-0.004276018,-0.243715717,0.159471633,1.087485276
1700947721,0.148079088,-0.277432243,0.068718244,1.142364814
1700947721,0.119751925,-0.192333063,0.130169032,1.007351663
1700947721,0.007382717,-0.110802128,0.150619561,0.896144879
1700947721,0.202242285,0.054019955,0.245277989,1.001503531
1700947722,0.273647569,0.088993705,0.249169507,0.901922123
1700947722,0.045783769,-0.004315394,-0.018766664,0.479924812
1700947722,-0.056922098,-0.083798418,-0.206975364,0.473527209
1700947722,0.030731922,-0.131523512,-0.084007088,0.53485792
1700947722,-0.070484961,-0.278423654,0.03104405,0.38827454
1700947723,-0.074837126,-0.433338752,0.157779832,0.49665226
1700947723,0.111184333,-0.244850638,0.06676568,0.31633601
1700947723,0.062908364,-0.097625823,-0.018998241,0.234906762
1700947723,0.010957736,-0.020988795,-0.015091963,0.125305929
1700947723,0.087301477,-0.024036278,-0.142289325,-0.143096087
1700947724,0.196726154,-0.097487177,-0.106321398,0.073711336
1700947724,0.098025864,-0.111710417,0.15918416,0.164904215
1700947724,-0.205669759,-0.088658539,0.229178904,0.23429153
1700947724,-0.107623589,-0.122910942,0.094052317,0.24144402
1700947724,0.054704422,-0.088271268,0.031058751,0.041543368
1700947725,0.1493641,-0.053827159,0.020048661,-0.110421997
1700947725,0.036789672,-0.034748732,0.075415901,-0.02036005
1700947725,-0.039946762,0.056384002,0.110815416,0.106218451
1700947725,-0.047482117,0.054757253,-0.005104071,0.141787862
1700947725,-0.067638185,0.019468037,-0.153620786,0.039885211
1700947726,-0.022962875,-0.036215518,0.023029411,-0.205437062
1700947726,0.009422344,-0.041788544,0.182474065,-0.141294502
1700947726,-0.040959344,0.022661864,0.121183203,0.014830313
1700947726,-0.231890525,0.02458524,0.085173456,0.231249457
1700947726,0.115434467,0.005145016,0.490178277,0.625791011
1700947727,0.277358011,-0.028430506,0.574324407,0.785067592
1700947727,0.185794588,-0.060099852,0.354823563,0.662818766
1700947727,0.01378823,-0.069715293,0.065480651,0.555365313
1700947727,-0.161486638,0.022800713,-0.062123645,0.289663538
1700947727,-0.068336504,0.153604486,-0.264904,0.132523987
1700947728,-0.093847185,0.102669832,-0.227552074,-0.194190162
1700947728,-0.157148418,-0.091808051,-0.13842498,-0.063927728
1700947728,-0.18794218,-0.142775948,0.071000279,0.139205511
1700947728,-0.255411834,-0.114002614,0.00849146,0.262806553
1700947728,-0.07700329,-0.119713238,0.304537093,0.454429282
1700947729,0.140591141,-0.119095532,0.375815505,0.388796131
1700947729,0.147433954,0.01410076,0.089651337,-0.054714777
1700947729,-0.039112844,0.038020242,-0.337050224,-0.235438966
1700947729,-0.092659833,-0.045743622,-0.491311481,-0.108038606
1700947729,0.079695272,-0.129983137,-0.178616577,-0.130130552
1700947730,0.005358368,-0.170428597,0.041122649,-0.171870304
1700947730,-0.269264576,-0.195327049,0.12459172,-0.118521001
1700947730,-0.17359297,-0.224029824,0.009656561,-0.047950568
1700947730,0.033279908,-0.21327461,-0.162504576,0.093162471
1700947730,0.233621036,-0.112794808,-0.202540188,0.190412503
1700947731,0.2893438,-0.050547473,-0.114597674,0.110170704
1700947731,0.092994924,0.005612014,0.051289381,0.318532643
1700947731,-0.117777057,0.124723165,0.101814705,0.339227824
1700947731,-0.302848267,0.18052845,0.148046441,0.202744749
1700947731,-0.196207491,0.107825526,0.237817901,0.227398531
1700947732,-0.03544215,0.038983557,0.225924063,0.060200427
1700947732,0.074449647,-0.006501441,0.204244817,0.099989498
1700947732,0.205225188,-0.040054732,0.162620919,0.301871006
1700947732,0.185814503,0.002136009,0.084227524,0.214698027
1700947732,0.097016845,0.004592797,-0.063753398,0.207348597
1700947733,-0.1314965,-0.104423422,-0.161607715,0.02677038
1700947733,-0.20649915,-0.104104296,-0.114374846,0.118297393
1700947733,-0.205210206,-0.019536787,0.033285917,0.227654259
1700947733,-0.383664723,-0.010265421,0.024953092,0.179414917
